DateTime,Amount,Description,Category,Subcategory,Tags,Notes
2025-01-01T12:00:00+02:00,-55,New Year Lunch,Dining,Restaurant,holiday,Brunch with family
2025-05-05T09:00:00+02:00,500,Freelance Project,Income,Freelance,"work, side-hustle",Website design commission
2025-08-20T10:30:00+02:00,-450,Flight to Rome,Transport,Travel,"vacation, summer",Round trip ticket
2025-11-15T12:00:00+02:00,-200,New Winter Coat,Shopping,Clothing,winter,Sale at department store
2025-12-24T16:00:00+02:00,-150,Christmas Gifts,Shopping,Gifts,"holiday, family",Bought at the mall
2026-02-10T14:15:00+02:00,-35,Phone Bill,Utilities,Mobile,monthly,Monthly plan
2026-02-14T20:00:00+02:00,-120,Valentine's Dinner,Dining,Restaurant,special,Fancy 3-course meal
2026-02-27T10:00:00+02:00,2500,Monthly Salary,Income,Salary,work,Regular monthly pay
2026-03-01T09:00:00+02:00,-800,Rent Payment,Housing,Rent,"monthly, home",March rent
2026-03-15T12:00:00+02:00,-50,Mountain Equipment,Shopping,Sport,mountain,New hiking boots
2026-03-20T19:30:00+02:00,-60,Dinner with Friends,Dining,Restaurant,social,Great sushi place
2026-03-28T11:00:00+02:00,-42.5,Weekly Groceries,Food,Groceries,"weekly, food",Stocked up for the week
2026-03-30T00:00:00+02:00,-10,Cinema,Uncategorized,,,
2026-04-15T14:00:00+02:00,-22,Train Ticket,Transport,Public Transport,travel,Commute to city
2026-04-18T10:00:00+02:00,50,Birthday Gift,Income,Gift,family,Cash from Grandma
2026-04-20T08:00:00+02:00,-120,Weekly Car Rent,Transport,Rent,"travel, mountain",For the trip
2026-04-22T19:00:00+02:00,-85.5,Utility Bill,Housing,Electricity,home,March usage
2026-04-24T09:15:00+02:00,-65,Gym Membership,Health,Fitness,monthly,Monthly club fee
2026-04-25T11:20:00+02:00,-12.99,Netflix Subscription,Entertainment,Streaming,digital,Monthly sub
2026-04-26T14:15:00+02:00,-45,Gas Station,Transport,Fuel,car,Full tank
2026-04-27T09:00:00+02:00,2500,Monthly Salary,Income,Salary,work,Regular monthly pay
2026-04-27T12:30:00+02:00,-18.8,Bookstore,Shopping,Books,hobby,New sci-fi novel
2026-04-28T18:30:00+02:00,-15,Dinner at Pizzeria,Dining,Restaurant,evening,Delicious pizza
2026-04-28T20:00:00+02:00,-35.2,Pharmacy,Health,Medicine,wellness,Prescription refill
2026-04-29T00:00:00+02:00,-5,Ice cream,Uncategorized,,,
2026-04-29T10:00:00+02:00,-25.5,Grocery Shopping,Food,Groceries,"weekly, food",Bought at local market
2026-04-29T15:45:00+02:00,-4.5,Iced Americano,Food,Cafe,break,Quick caffeine fix
